Id,Designator,Package,Quantity,Designation,Supplier and ref,
1,U401,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,DRV8320S,,
2,R114,R_0402_1005Metric,0,DNP,,DNP
3,C401,CP_Radial_D10.0mm_P5.00mm,1,>10µ 35V,,stock
4,"C409,C408,C407",C_1210_3225Metric,3,22µ 35V 1210,,stock
5,"C412,C411,C410,C201,C403,C402,C306,C305,C304,C303,C302,C301",C_0402_1005Metric,12,100n,,stock
6,"R113,R112,R111,R401,R108,R101",R_0402_1005Metric,6,10k,,stock
7,"C502,C501,C504,C503",C_0805_2012Metric,4,22µ 10V 0805,,stock
8,"U502,U501",Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm,2,TPS82150,,
9,"U404,U403,U402",TSSOP-8_4.4x3mm_P0.65mm,3,INA240A2PW,,
10,U301,LQFP-48_7x7mm_P0.5mm,1,STM32G474CET6,,stock
11,U201,SOT-23-8,1,TCAN332,,
12,TP401,TestPoint_Pad_D1.0mm,1,Fault,,
13,TP303,TestPoint_Pad_D1.0mm,1,BK,,
14,TP302,TestPoint_Pad_D1.0mm,1,DAC1,,
15,TP301,TestPoint_Pad_D1.0mm,1,DAC2,,
16,TP103,TestPoint_Pad_D1.0mm,1,W,,
17,TP102,TestPoint_Pad_D1.0mm,1,V,,
18,TP101,TestPoint_Pad_D1.0mm,1,U,,
19,R504,R_0402_1005Metric,1,5k1,,
20,R503,R_0402_1005Metric,1,27k,,
21,R502,R_0402_1005Metric,1,47k,,stock
22,R501,R_0402_1005Metric,1,150k,,
23,"R404,R403,R402",R_0805_2012Metric,3,5m,,
24,"R306,R305,R304,R110,R107,R105,R103",R_0402_1005Metric,7,1k,,stock
25,"R109,R106,R104,R102",R_0402_1005Metric,4,20k,,stock
26,"Q403,Q402,Q401",DFN-12-2EP_3.3x5mm_Pitch0.65mm,3,FDMD82xx,,
27,J303,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,SWD,,
28,J302,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,UART,,
29,J301,USB_Micro-B_Molex-105133-0001,1,USB,,
30,J201,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,CAN,,stock
31,J106,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Motor,,
32,J105,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,NTC,,stock
33,J104,JST_GH_BM05B-GHS-TBT_1x05-1MP_P1.25mm_Vertical,1,Encoder,,stock
34,J103,JST_GH_BM05B-GHS-TBT_1x05-1MP_P1.25mm_Vertical,1,Hall,,stock
35,J102,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,SW,,stock
36,J101,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,SUPPLY,,
37,D303,LED_0402_1005Metric,1,DAC2/green,,
38,D302,LED_0402_1005Metric,1,DAC1/red,,stock
39,D301,LED_0402_1005Metric,1,POWER/blue,,stock
40,C406,C_0402_1005Metric,1,47n 50V X7R,,stock
41,C405,C_0603_1608Metric,1,1µ 16V X7R,,stock
42,C404,C_0603_1608Metric,1,1µ 6V3 X7R,,stock
